Index,deltaCac,maxCacThreshold,targetCarrierFreq,LNBTS_id,earfcnDL,Banda,Encargado
"(nan, 'PER')",#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
"(nan, 'CHO')",#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,Jhonattan
"('CAD.Riosucio-3_L1', 'CAD')",15,30,3225,699603,3075,2600,German
"('CAD.Riosucio-3_L1', 'CAD')",15,30,626,699603,3075,2600,German
"('CAD.Riosucio-3_L2', 'CAD')",15,30,3225,699603,3075,2600,German
"('CAD.Riosucio-3_L2', 'CAD')",15,30,626,699603,3075,2600,German
"('CAD.Riosucio-3_L3', 'CAD')",15,30,3225,699603,3075,2600,German
"('CAD.Riosucio-3_L3', 'CAD')",15,30,626,699603,3075,2600,German
"('CAD.Riosucio-3_T1', 'CAD')",15,30,3075,699603,3225,2600,German
"('CAD.Riosucio-3_T1', 'CAD')",15,30,626,699603,3225,2600,German
"('CAD.Riosucio-3_T2', 'CAD')",15,30,3075,699603,3225,2600,German
"('CAD.Riosucio-3_T2', 'CAD')",15,30,626,699603,3225,2600,German
"('CAD.Riosucio-3_T3', 'CAD')",15,30,3075,699603,3225,2600,German
"('CAD.Riosucio-3_T3', 'CAD')",15,30,626,699603,3225,2600,German
"('CAD.Riosucio-3_M1', 'CAD')",15,30,3075,699603,626,1900,German
"('CAD.Riosucio-3_M1', 'CAD')",15,30,3225,699603,626,1900,German
"('CAD.Riosucio-3_M2', 'CAD')",15,30,3075,699603,626,1900,German
"('CAD.Riosucio-3_M2', 'CAD')",15,30,3225,699603,626,1900,German
"('CAD.Riosucio-3_M3', 'CAD')",15,30,3075,699603,626,1900,German
"('CAD.Riosucio-3_M3', 'CAD')",15,30,3225,699603,626,1900,German
"('CAD.Riosucio-2_L1', 'CAD')",15,30,3225,699618,3075,2600,German
"('CAD.Riosucio-2_L1', 'CAD')",15,30,626,699618,3075,2600,German
"('CAD.Riosucio-2_L2', 'CAD')",15,30,3225,699618,3075,2600,German
"('CAD.Riosucio-2_L2', 'CAD')",15,30,626,699618,3075,2600,German
"('CAD.Riosucio-2_L3', 'CAD')",15,30,3225,699618,3075,2600,German
"('CAD.Riosucio-2_L3', 'CAD')",15,30,626,699618,3075,2600,German
"('CAD.Riosucio-2_T1', 'CAD')",15,30,3075,699618,3225,2600,German
"('CAD.Riosucio-2_T1', 'CAD')",15,30,626,699618,3225,2600,German
"('CAD.Riosucio-2_T2', 'CAD')",15,30,3075,699618,3225,2600,German
"('CAD.Riosucio-2_T2', 'CAD')",15,30,626,699618,3225,2600,German
"('CAD.Riosucio-2_T3', 'CAD')",15,30,3075,699618,3225,2600,German
"('CAD.Riosucio-2_T3', 'CAD')",15,30,626,699618,3225,2600,German
"('CAD.Riosucio-2_M1', 'CAD')",15,30,3075,699618,626,1900,German
"('CAD.Riosucio-2_M1', 'CAD')",15,30,3225,699618,626,1900,German
"('CAD.Riosucio-2_M2', 'CAD')",15,30,3075,699618,626,1900,German
"('CAD.Riosucio-2_M2', 'CAD')",15,30,3225,699618,626,1900,German
"('CAD.Riosucio-2_M3', 'CAD')",15,30,3075,699618,626,1900,German
"('CAD.Riosucio-2_M3', 'CAD')",15,30,3225,699618,626,1900,German
"('CAD.Anserma-1_L1', 'CAD')",10,100,626,699742,3100,2600,German
"('CAD.Anserma-1_L2', 'CAD')",10,100,626,699742,3100,2600,German
"('CAD.Anserma-1_L3', 'CAD')",10,100,626,699742,3100,2600,German
"('CAD.Anserma-1_M1', 'CAD')",10,100,3100,699742,626,1900,German
"('CAD.Anserma-1_M2', 'CAD')",10,100,3100,699742,626,1900,German
"('CAD.Anserma-1_M3', 'CAD')",10,100,3100,699742,626,1900,German
"('ARM.Exposiciones_M1', 'ARM')",15,30,3075,612766,651,1900,Juan Carlos
"('ARM.Exposiciones_M1', 'ARM')",15,30,3225,612766,651,1900,Juan Carlos
"('ARM.Exposiciones_M2', 'ARM')",15,30,3075,612766,651,1900,Juan Carlos
"('ARM.Exposiciones_M2', 'ARM')",15,30,3225,612766,651,1900,Juan Carlos
"('ARM.Exposiciones_M3', 'ARM')",15,30,3075,612766,651,1900,Juan Carlos
"('ARM.Exposiciones_M3', 'ARM')",15,30,3225,612766,651,1900,Juan Carlos
"('PER.Ciudad Victoria_L1', 'PER')",15,30,3225,699153,3075,2600,Jhonattan
"('PER.Ciudad Victoria_L1', 'PER')",15,30,651,699153,3075,2600,Jhonattan
"('PER.Ciudad Victoria_T1', 'PER')",15,30,3075,699153,3225,2600,Jhonattan
"('PER.Ciudad Victoria_T1', 'PER')",15,30,651,699153,3225,2600,Jhonattan
"('PER.Ciudad Victoria_M1', 'PER')",15,30,3075,699153,651,1900,Jhonattan
"('PER.Ciudad Victoria_M1', 'PER')",15,30,3225,699153,651,1900,Jhonattan
"('PER.Ciudad Victoria_M2', 'PER')",15,30,3075,699153,651,1900,Jhonattan
"('PER.Ciudad Victoria_M2', 'PER')",15,30,3225,699153,651,1900,Jhonattan
"('PER.Ciudad Victoria_M3', 'PER')",15,30,3075,699153,651,1900,Jhonattan
"('PER.Ciudad Victoria_M3', 'PER')",15,30,3225,699153,651,1900,Jhonattan
"('PER.Flamingo_L1', 'PER')",15,30,3225,699169,3075,2600,Jhonattan
"('PER.Flamingo_L1', 'PER')",15,30,651,699169,3075,2600,Jhonattan
"('PER.Flamingo_L2', 'PER')",15,30,3225,699169,3075,2600,Jhonattan
"('PER.Flamingo_L2', 'PER')",15,30,651,699169,3075,2600,Jhonattan
"('PER.Flamingo_L3', 'PER')",15,30,3225,699169,3075,2600,Jhonattan
"('PER.Flamingo_L3', 'PER')",15,30,651,699169,3075,2600,Jhonattan
"('PER.Flamingo_T1', 'PER')",15,30,3075,699169,3225,2600,Jhonattan
"('PER.Flamingo_T1', 'PER')",15,30,651,699169,3225,2600,Jhonattan
"('PER.Flamingo_T2', 'PER')",15,30,3075,699169,3225,2600,Jhonattan
"('PER.Flamingo_T2', 'PER')",15,30,651,699169,3225,2600,Jhonattan
"('PER.Flamingo_T3', 'PER')",15,30,3075,699169,3225,2600,Jhonattan
"('PER.Flamingo_T3', 'PER')",15,30,651,699169,3225,2600,Jhonattan
"('PER.Flamingo_M1', 'PER')",15,30,3075,699169,651,1900,Jhonattan
"('PER.Flamingo_M1', 'PER')",15,30,3225,699169,651,1900,Jhonattan
